title,artist,streams,id,image,preview,popularity,url,release_date,artistId,rap,pop,edm,rock,country,latin,kpop
SICKO MODE,Travis Scott,586638599,2xLMifQCjDGFmkHkpNLD9h,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3,https://p.scdn.co/mp3-preview/8229545ded5cacf393f62b17af653dfc8171fc85?cid=e06033cb82944a2fabf676f565716d87,87.0,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2018-08-03,0Y5tJX1MQlPlqiwlOH1tJY,True,,True,,,,
Sweater Weather,The Neighbourhood,572144239,2QjOHCTQ1Jl3zawyYOpxh6,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,https://p.scdn.co/mp3-preview/877602f424a9dea277b13301ffc516f9fd1fbe7e?cid=e06033cb82944a2fabf676f565716d87,93.0,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,2013-04-19,77SW9BnxLY8rJ0RciFqkHh,,True,,True,,,
As It Was,Harry Styles,550101232,4Dvkj6JhhA12EX05fT7y2e,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=e06033cb82944a2fabf676f565716d87,94.0,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,2022-05-20,6KImCVD70vtIoJWnq6nGn3,,True,,,,,
Congratulations,Post Malone,546036924,3a1lNhkSLSkpJE4MSHpDu9,https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41,https://p.scdn.co/mp3-preview/41367bd297b91aa6c277d10ea06ca33d18f60e10?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,2016-12-09,246dkjvS1zLTtiykXe5h60,True,True,,,,,
MIDDLE CHILD,J. Cole,543756685,2JvzF1RMd7lE3KmFlsyZD8,https://i.scdn.co/image/ab67616d0000b2737f37a4001ae7d8be430bd91b,https://p.scdn.co/mp3-preview/a3baf02e375a1f90d404ad8cf5f59f63ae5888d8?cid=e06033cb82944a2fabf676f565716d87,84.0,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019-01-23,6l3HvQ5sa6mXTsMTB19rO5,True,,,,,,
I Fall Apart,Post Malone,543144261,75ZvA4QfFiZvzhj2xkaWAh,https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41,https://p.scdn.co/mp3-preview/2add5c025df9c2208c4b2c3b0357661f2d95eda5?cid=e06033cb82944a2fabf676f565716d87,82.0,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2016-12-09,246dkjvS1zLTtiykXe5h60,True,True,,,,,
God's Plan,Drake,534994242,6DCZcSspjsKoFjzjrWoCdn,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,https://p.scdn.co/mp3-preview/a90a7912992fdfd494c99027c31eb9002b592ed3?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2018-06-29,3TVXtAsR1Inumwj472S9r4,True,True,,,,,
Ric Flair Drip,Offset,521906123,7sO5G9EABYOXQKNPNiE9NR,https://i.scdn.co/image/ab67616d0000b2730db43130a9aaa7bae56967ed,https://p.scdn.co/mp3-preview/89cee86b4663ac093731d7a433491dd71e286f61?cid=e06033cb82944a2fabf676f565716d87,87.0,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,2017-10-30,4DdkRBBYG6Yk9Ka8tdJ9BW,True,True,,,,,
Whiskey Glasses,Morgan Wallen,516603982,6foY66mWZN0pSRjZ408c00,https://i.scdn.co/image/ab67616d0000b273f9f2dda2df2a695b9bad3440,https://p.scdn.co/mp3-preview/8bfbda21b7e6c086f8d5461c05226cbf2f3e31fa?cid=e06033cb82944a2fabf676f565716d87,83.0,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00,2018-04-27,4oUHIQIBe0LHzYfvXNW4QM,,,,,True,,
The Box,Roddy Ricch,504210201,0nbXyq5TXYPCO7pr3N8S4I,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f,https://p.scdn.co/mp3-preview/6306fda4df77cbcaf47c8b9fa3575ce457504c9c?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2019-12-06,757aE44tKEUQEqRuT6GnEB,True,,,,,,
One Dance,Drake,473712935,1zi7xx7UVEFkmKfv06H8x0,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,https://p.scdn.co/mp3-preview/0ee5843f6060102ce4ac239c856c452439e3d9d2?cid=e06033cb82944a2fabf676f565716d87,89.0,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0,2016-05-06,3TVXtAsR1Inumwj472S9r4,True,True,,,,,
Fuck Love,XXXTENTACION,473417295,7AQim7LbvFVZJE3O8TYgf2,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,https://p.scdn.co/mp3-preview/ad4d23afd3b92325c442f036322a05f5f35385dc?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,2017-08-25,15UsOTVnJzReFVN1VCnxy4,True,,,,,,
Yes Indeed,Lil Baby,466073278,6vN77lE9LK6HP2DewaN6HZ,https://i.scdn.co/image/ab67616d0000b2736cab41f8c84d6164976400d4,https://p.scdn.co/mp3-preview/4707ac392292a5eeec89cfd28f9096ebd4574ebc?cid=e06033cb82944a2fabf676f565716d87,83.0,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,2018-05-18,5f7VJjfbwm532GiveGC0ZK,True,,,,,,
Stay,The Kid LAROI,465210874,567e29TDzLwZwfDuEpGTwo,https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a,https://p.scdn.co/mp3-preview/718a2eb032524494a01f73d80af2bcf176c9f3e2?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo,2021-07-27,2tIP7SsRs7vjIcLrU85W8J,True,,,,,,
Better Now,Post Malone,463551468,7dt6x5M1jzdTEt8oCbisTK,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268,https://p.scdn.co/mp3-preview/1aa169aa2705c55c3c5e8d93dea91b682225ae59?cid=e06033cb82944a2fabf676f565716d87,83.0,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2018-04-27,246dkjvS1zLTtiykXe5h60,True,True,,,,,
