title,artist,streams,id,image
Something Just Like This,The Chainsmokers,1444582214,6RUKPb4LETWmmr3iAEQktW,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94
MONTERO (Call Me By Your Name),Lil Nas X,1437151704,1SC5rEoYDGUK4NfG82494W,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd
goosebumps,Travis Scott,1428201169,6gBFPUFcJLzWGx4lenP6h2,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce
SICKO MODE,Travis Scott,1425985849,2xLMifQCjDGFmkHkpNLD9h,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3
God's Plan,Drake,1419636888,6DCZcSspjsKoFjzjrWoCdn,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5
La Bachata,Manuel Turizo,1398453883,3tt9i3Hhzq84dPS8H7iSiJ,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1
Dynamite,BTS,1392283880,5QDLhrAOJJdNAmCTJ8xMyW,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5
Roses - Imanbek Remix,SAINt JHN,1388148423,2JCOFv3vvv6HIfw7QOqpIz,https://i.scdn.co/image/ab67616d0000b27382b87e6b9d7ea40b1f01a06e
Mood,24kGoldn,1377292794,4jPy3l0RUwlUI9T5XHBW2m,https://i.scdn.co/image/ab67616d0000b27384c53fa832dfa265192419c5
Memories,Maroon 5,1370441199,4cktbXiXOapiLBMprHFErI,https://i.scdn.co/image/ab67616d0000b27386a8ab515de4b7aef28cd631
Bad Habits,Ed Sheeran,1350227445,3rmo8F54jFF8OgYsqTxm5d,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2
Easy On Me,Adele,1348852670,46IZ0fSY2mpAiktS3KOqds,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
All I Want for Christmas Is You,Mariah Carey,1335814112,0bYg9bo50gSsH3LtXe2SQn,https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f
I'm Good (Blue),David Guetta,1329978640,4uUG5RXrOk84mYEfFvj3cK,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4
Die For You,The Weeknd,1327033719,2LBqCSwhJGcFQeTHMVGwy3,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a
Unholy,Sam Smith,1324265059,3nqQXoyQOWXiESFLlDF1hG,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4
DÁKITI,Bad Bunny,1323144052,47EiUVwUp4C9fGccaPuUCS,https://i.scdn.co/image/ab67616d0000b27334c8199b0b3b3fb42b8a98a8
Riptide,Vance Joy,1316171669,3JvrhDOgAt6p7K8mDyZwRd,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03
Kiss Me More,Doja Cat,1311295293,3DarAbFujv6eYNliUTyqtz,https://i.scdn.co/image/ab67616d0000b273be841ba4bc24340152e3a79a
Happier,Marshmello,1302211159,7BqHUALzNBTanL6OvsqmC1,https://i.scdn.co/image/ab67616d0000b273dd0a40eecd4b13e4c59988da
Havana,Camila Cabello,1288873382,1rfofaqEpACxVEHIZBJe6W,https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4
I Ain't Worried,OneRepublic,1278303529,4h9wh7iOZ0GGn8QVp4RAOB,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13
Anti-Hero,Taylor Swift,1269873437,0V3wPSX9ygBnCm8psDIegu,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
Tití Me Preguntó,Bad Bunny,1253903760,1IHWl5LamUGEuP4ozKQSXZ,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72
Thinking out Loud,Ed Sheeran,1252437081,34gCuhDGsG4bRPIf9bb02f,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd
Photograph,Ed Sheeran,1249370487,1HNkqx9Ahdgi1Ixy2xkKkL,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd
The Box,Roddy Ricch,1243739975,0nbXyq5TXYPCO7pr3N8S4I,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f
Yellow,Coldplay,1243362453,3AJwUDP919kvQ9QcozQPxg,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0
Ghost,Justin Bieber,1242490642,6I3mqTwhRpn34SLVafSH7G,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431
Take Me To Church,Hozier,1241361153,1CS7Sd1u5tWkstBhpssyjP,https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2
Shivers,Ed Sheeran,1236107580,50nfwKoDiSYg8zOCREWAm5,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2
One Kiss,Calvin Harris,1228015420,7ef4DlsgrMEH11cDZd32M6,https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108
I Don't Care,Ed Sheeran,1226341816,09C6FJhqMPdTl8uOcmEZcx,https://i.scdn.co/image/ab67616d0000b2739c54255dc19edb59e59117fb
Better Now,Post Malone,1218871302,7dt6x5M1jzdTEt8oCbisTK,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268
ROCKSTAR,DaBaby,1218421504,7ytR5pFWmSjzHJIeQkgog4,https://i.scdn.co/image/ab67616d0000b27320e08c8cc23f404d723b5647
Peaches,Justin Bieber,1208278824,4iJyoBOLtHqaGxP12qzhQI,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431
Thunder,Imagine Dragons,1193833999,1zB4vmk8tFRmM9UULNzbLB,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a
No Role Modelz,J. Cole,1189638953,68Dni7IE4VyPkTOH9mRWHr,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8
Counting Stars,OneRepublic,1185668266,2tpWsVSb9UEmDRxAl1zhX1,https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb
Before You Go,Lewis Capaldi,1180738967,2gMXnyrvIjhVBUZwvLZDMP,https://i.scdn.co/image/ab67616d0000b2737b9639babbe96e25071ec1d4
Ojitos Lindos,Bad Bunny,1180213497,3k3NWokhRRkEPhCzPmV8TW,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72
Without Me,Halsey,1168628874,6FZDfxM3a3UCqtzo5pxSLZ,https://i.scdn.co/image/ab67616d0000b2737636e1c9e67eaafc9f49aefd
I Wanna Be Yours,Arctic Monkeys,1154887472,5XeFesFbtLpXzIVDNQP22n,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
Dandelions,Ruth B.,1150631221,2eAvDnpXP5W0cVtiI0PUxV,https://i.scdn.co/image/ab67616d0000b27397e971f3e53475091dc8d707
Calm Down,Rema,1147117377,0WtM2NBVQNNJLh6scP13H8,https://i.scdn.co/image/ab67616d0000b273a3a7f38ea2033aa501afd4cf
New Rules,Dua Lipa,1140597500,2ekn2ttSfGqwhhate0LSR0,https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc
Woman,Doja Cat,1107964408,6Uj1ctrBOjOas8xZXGqKk4,https://i.scdn.co/image/ab67616d0000b273be841ba4bc24340152e3a79a
All of Me,John Legend,1107456304,3U4isOIWM3VvDubwSI3y7a,https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78
Beggin',Måneskin,1097657144,3Wrjm47oTz2sjIgck11l5e,https://i.scdn.co/image/ab67616d0000b273fa0ab3a28b5c52d8a5f97045
Heather,Conan Gray,1093340307,4xqrdfXkTW4T0RauPLv3WA,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43
Pepas,Farruko,1092223873,5fwSHlTEWpluwOM0Sxnh5k,https://i.scdn.co/image/ab67616d0000b2734239a6aa89738d8f798168ad
Yonaguni,Bad Bunny,1091187590,2JPLbjOn0wPCngEot2STUS,https://i.scdn.co/image/ab67616d0000b27364afd6879102d03460bd3ad9
Creepin',Metro Boomin,1087439244,2dHHgzDwk4BJdRwy9uXhTO,https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89
"thank u, next",Ariana Grande,1086433407,3e9HZxeyfWwjeyPAMmWSSQ,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8
Girls Like You,Maroon 5,1081119035,6V1bu6o1Yo5ZXnsCJU8Ovk,https://i.scdn.co/image/ab67616d0000b273fc4852898bc6ed85b3e3f89c
Despacito - Remix,Luis Fonsi,1072194101,6rPO02ozF3bM7NnOV4h6s2,https://i.scdn.co/image/ab67616d0000b273a6a335d613d151c626895a83
The Hills,The Weeknd,1068801398,7fBv7CLKzipRk6EC6TWHOB,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b
deja vu,Olivia Rodrigo,1060769927,6HU7h9RYOaPRFeh0R3UeAr,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
XO TOUR Llif3,Lil Uzi Vert,1058173866,7GX5flRQZVHRAGd6B4TmDO,https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c
Last Christmas,Wham!,1042111104,2FRnf9qhLbvw8fu4IBXx78,https://i.scdn.co/image/ab67616d0000b273f2d2adaa21ad616df6241e7d
when the party's over,Billie Eilish,1037957672,43zdsphuZLzwA9k4DJhU0I,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce
Moonlight,XXXTENTACION,1031086017,0JP9xo3adEtGSdUEISiszL,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c
Efecto,Bad Bunny,1013471014,5Eax0qFko2dh7Rl2lYs3bx,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72
Cruel Summer,Taylor Swift,1013039874,1BxfuPKGuaTgP7aM0Bbdwr,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
Seven,Jung Kook,1011787813,7x9aauaA9cu6tyfpHnqDLo,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74
Adore You,Harry Styles,1009588110,3jjujdWJ72nww5eGnfs2E7,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
traitor,Olivia Rodrigo,998511744,5CZ40GBx1sQ9agT82CLQCT,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
Ella Baila Sola,Eslabon Armado,998262768,3dnP0JxCgygwQH9Gm7q7nb,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef
Without Me,Eminem,998145545,7lQ8MOhq6IN2w8EYcFNSUk,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
death bed,Powfu,996603124,7eJMfftS33KTjuF7lTsMCx,https://i.scdn.co/image/ab67616d0000b273bf01fd0986a195d485922167
ROXANNE,Arizona Zervas,995796741,696DnlkuDOXcMAnKlTgXXK,https://i.scdn.co/image/ab67616d0000b273069a93617a916760ab88ffea
HUMBLE.,Kendrick Lamar,995359130,7KXjTSCq5nL1LoYtL7XAwS,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699
Congratulations,Post Malone,994460066,3a1lNhkSLSkpJE4MSHpDu9,https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41
Falling,Trevor Daniel,982655543,0Aqi7ArnBrGblW5T6p2jmD,https://i.scdn.co/image/ab67616d0000b2734dbf782532ca5d09012dc2d5
Tusa,KAROL G,981019287,7k4t7uLgtOxPwTpFmtJNTY,https://i.scdn.co/image/ab67616d0000b273ddd3154c58e15a8bdb63bbcc
Bones,Imagine Dragons,976931224,54ipXppHLA8U4yqpOFTUhr,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13
Love Yourself,Justin Bieber,976161708,50kpGaPAhYJ3sGmk6vplg0,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de
Old Town Road - Remix,Lil Nas X,972399663,2YpeDb67231RjR0MgVLzsG,https://i.scdn.co/image/ab67616d0000b273c0e7bf5cdd630f314f20586a
Eastside,benny blanco,966793467,7FGq80cy8juXBCD2nrqdWU,https://i.scdn.co/image/ab67616d0000b273693dbf001d5b2d06ad9e5f4d
I Like Me Better,Lauv,965966212,0EcQcdcbQeVJn9fknj44Be,https://i.scdn.co/image/ab67616d0000b273bdea30b86b37142ec99deb78
Blank Space,Taylor Swift,963485811,1p80LdxRV74UKvL8gnD7ky,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
Youngblood,5 Seconds of Summer,959545880,2iUXsYOEPhVqEBwsqP70rE,https://i.scdn.co/image/ab67616d0000b27341aa6776dc15fbd71a2b4557
Wow.,Post Malone,942911527,7xQAfvXzm3AkraOtGPWIZg,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02
LA CANCIÓN,J Balvin,942838258,0fea68AdmYNygeTGI4RC18,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb
505,Arctic Monkeys,939284051,58ge6dfP91o9oXMzq3XkIS,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90
Sorry,Justin Bieber,936550004,09CtPGIpYB4BrO8qb1RGsF,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de
Sweet but Psycho,Ava Max,934522409,7DnAm9FOTWE3cUvso43HhI,https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7
Don't Let Me Down,The Chainsmokers,930379946,1i1fxkWeaMmKEB4T7zqbzK,https://i.scdn.co/image/ab67616d0000b273df7cddc2d32ef9df762d5a30
HIGHEST IN THE ROOM,Travis Scott,928798142,3eekarcy7kvN4yt5ZFzltW,https://i.scdn.co/image/ab67616d0000b273e42b5fea4ac4c3d6328b622b
positions,Ariana Grande,916255755,35mvY5S1H3J2QZyna3TFe0,https://i.scdn.co/image/ab67616d0000b2735ef878a782c987d38d82b605
I Like It,Cardi B,909100262,58q2HKrzhC3ozto2nDdN4z,https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab
Lean On,Major Lazer,903501246,01aTsQoKoeXofSTvKuunzv,https://i.scdn.co/image/ab67616d0000b273d6d24aee7b49a2db98a76856
Glimpse of Us,Joji,903289026,6xGruZOHLs39ZbVccQTuPZ,https://i.scdn.co/image/ab67616d0000b27308596cc28b9f5b00bfe08ae7
Todo De Ti,Rauw Alejandro,902083204,3rdAz1fbUfZxYgaCviYhRo,https://i.scdn.co/image/ab67616d0000b273d9525f27b0a9e25b1fa21230
golden hour,JVKE,901561263,5odlY52u43F5BjByhxg7wg,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954
Psycho,Post Malone,897922392,3swc6WTsr7rl9DqQKQA55C,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268
Taki Taki,DJ Snake,894324275,4w8niZpiMy6qz1mntFA5uM,https://i.scdn.co/image/ab67616d0000b273e105c410a7b390c61a58cbf8
Do I Wanna Know?,Arctic Monkeys,894173532,5FVd6KXrgO9B3JPmC8OPst,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
Under The Influence,Chris Brown,886080983,5IgjP7X4th6nMNDh4akUHb,https://i.scdn.co/image/ab67616d0000b2739a494f7d8909a6cc4ceb74ac
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,885579145,0vbtURX4qv1l7besfwmnD8,https://i.scdn.co/image/ab67616d0000b2731db27fa11dbafa67857da8f3
My Universe,Coldplay,878060454,3FeVmId7tL5YN8B7R3imoM,https://i.scdn.co/image/ab67616d0000b273f60a9b7e2abafc38da31f575
Lemonade,Internet Money,875296416,1p0rEzrK7YtdRZVtiyV7RN,https://i.scdn.co/image/ab67616d0000b273c4adc981dc6656e52c916088
Be Alright,Dean Lewis,868812578,5qrSlOut2rNAWv3ubArkNy,https://i.scdn.co/image/ab67616d0000b273a787f718fb485b66d6219247
Unforgettable,French Montana,865689163,3B54sVLJ402zGa6Xm4YGNe,https://i.scdn.co/image/ab67616d0000b2738a31195a371b2233456f6c07
WAP,Cardi B,865593647,4Oun2ylbjFKMPTiaSbbCih,https://i.scdn.co/image/ab67616d0000b273c450c89d3eb750d3535b0a0c
Beautiful People,Ed Sheeran,864985505,1Tr1xGp6VwroZsT2uwpJyy,https://i.scdn.co/image/ab67616d0000b273e055300119ecf90ed4455dff
