title,artist,streams,id,image,preview,popularity,url,release_date,artistId,rap,pop,rock,edm,latin,kpop,country
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,1475187557,2tTmW7RDtMQtBk7m2rYeSw,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf,https://p.scdn.co/mp3-preview/e9c0ed735e611f6af45bc946bd4c31590df09ed6?cid=e06033cb82944a2fabf676f565716d87,89.0,https://open.spotify.com/track/2tTmW7RDtMQtBk7m2rYeSw,2022-07-06,716NhGYqD1jl2wI1Qkgq36,True,True,,,True,,
Jocelyn Flores,XXXTENTACION,1447811195,7m9OqQk4RVRkw9JJdeAw96,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,https://p.scdn.co/mp3-preview/df466c4bb30333c2ee904e7c876920e418d41732?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2017-08-25,15UsOTVnJzReFVN1VCnxy4,True,,,,,,
Something Just Like This,The Chainsmokers,1444582214,6RUKPb4LETWmmr3iAEQktW,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,https://p.scdn.co/mp3-preview/4e117abe76700eb13e9e0557fa2d9c44b565b9da?cid=e06033cb82944a2fabf676f565716d87,88.0,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-04-07,69GGBxA162lTqCwzJG5jLp,,True,,,,,
MONTERO (Call Me By Your Name),Lil Nas X,1437151704,1SC5rEoYDGUK4NfG82494W,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd,https://p.scdn.co/mp3-preview/6d0edb4a3a0061ad162b279081c3f573e9d0dd40?cid=e06033cb82944a2fabf676f565716d87,80.0,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W,2021-09-17,7jVv8c5Fj3E9VhNjxT4snq,True,,,,,,
goosebumps,Travis Scott,1428201169,6gBFPUFcJLzWGx4lenP6h2,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,https://p.scdn.co/mp3-preview/5c45fee2743d39984ed2c1e2493d04a42d626f81?cid=e06033cb82944a2fabf676f565716d87,88.0,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2016-09-16,0Y5tJX1MQlPlqiwlOH1tJY,True,,,True,,,
SICKO MODE,Travis Scott,1425985849,2xLMifQCjDGFmkHkpNLD9h,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3,https://p.scdn.co/mp3-preview/8229545ded5cacf393f62b17af653dfc8171fc85?cid=e06033cb82944a2fabf676f565716d87,87.0,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2018-08-03,0Y5tJX1MQlPlqiwlOH1tJY,True,,,True,,,
God's Plan,Drake,1419636888,6DCZcSspjsKoFjzjrWoCdn,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,https://p.scdn.co/mp3-preview/a90a7912992fdfd494c99027c31eb9002b592ed3?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2018-06-29,3TVXtAsR1Inumwj472S9r4,True,True,,,,,
La Bachata,Manuel Turizo,1398453883,3tt9i3Hhzq84dPS8H7iSiJ,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1,https://p.scdn.co/mp3-preview/0232b53fd7849e6696e1ab3099dd01dd00823f17?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/3tt9i3Hhzq84dPS8H7iSiJ,2023-03-17,0tmwSHipWxN12fsoLcFU3B,True,True,,,True,,
Dynamite,BTS,1392283880,5QDLhrAOJJdNAmCTJ8xMyW,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5,https://p.scdn.co/mp3-preview/98e266fea9df84fa3e5ca84934c513211e89489b?cid=e06033cb82944a2fabf676f565716d87,82.0,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW,2020-11-20,3Nrfpe0tUJi4K4DXYWgMUX,,True,,,,True,
Roses - Imanbek Remix,SAINt JHN,1388148423,2JCOFv3vvv6HIfw7QOqpIz,https://i.scdn.co/image/ab67616d0000b27382b87e6b9d7ea40b1f01a06e,,41.0,https://open.spotify.com/track/2JCOFv3vvv6HIfw7QOqpIz,2020-07-17,0H39MdGGX6dbnnQPt6NQkZ,True,,,True,,,
Mood,24kGoldn,1377292794,4jPy3l0RUwlUI9T5XHBW2m,https://i.scdn.co/image/ab67616d0000b27384c53fa832dfa265192419c5,https://p.scdn.co/mp3-preview/c425299d5996843fc24308b896f7ce60fd262c99?cid=e06033cb82944a2fabf676f565716d87,82.0,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m,2021-03-26,6fWVd57NKTalqvmjRd2t8Z,True,True,,,,,
